river,name,live
rhein,Disentis,bafusp#https://lindas.admin.ch/query
rhein,Coire,bafusp#https://lindas.admin.ch/query
rhein,Bale,bafusp#https://lindas.admin.ch/query
rhein,Strasbourg,bafusp#https://lindas.admin.ch/query
rhein,Karlsruhe,bafusp#https://lindas.admin.ch/query
rhein,Mannheim,bafusp#https://lindas.admin.ch/query
rhein,Cologne,bafusp#https://lindas.admin.ch/query
rhone,Ulrichen,bafusp#https://lindas.admin.ch/query
rhone,Brig,bafusp#https://lindas.admin.ch/query
rhone,Sierre,bafusp#https://lindas.admin.ch/query
rhone,Lausanne,bafusp#https://lindas.admin.ch/query
rhone,Lyon,bafusp#https://lindas.admin.ch/query
aare,Meiringen,bafusp#https://lindas.admin.ch/query
aare,Thun,bafusp#https://lindas.admin.ch/query
aare,Berne,bafusp#https://lindas.admin.ch/query
reuss,Goschenen,bafusp#https://lindas.admin.ch/query
reuss,Altdorf,bafusp#https://lindas.admin.ch/query
reuss,Lucerne,bafusp#https://lindas.admin.ch/query
ticino,Airolo,bafusp#https://lindas.admin.ch/query
ticino,Bellinzone,bafusp#https://lindas.admin.ch/query
ticino,Locarno,bafusp#https://lindas.admin.ch/query
po,Torre Pellice,bafusp#https://lindas.admin.ch/query
po,Turin,bafusp#https://lindas.admin.ch/query
inn,Saint-Moritz,bafusp#https://lindas.admin.ch/query
inn,Innsbruck,bafusp#https://lindas.admin.ch/query
saone,Dijon,bafusp#https://lindas.admin.ch/query
saone,Lyon,bafusp#https://lindas.admin.ch/query
doubs,Saint-Ursanne,bafusp#https://lindas.admin.ch/query
doubs,Audincourt,bafusp#https://lindas.admin.ch/query
doubs,Besancon,bafusp#https://lindas.admin.ch/query
donau,Donaueschingen,bafusp#https://lindas.admin.ch/query
donau,Ulm,bafusp#https://lindas.admin.ch/query
donau,Ratisbonne,bafusp#https://lindas.admin.ch/query
donau,Linz,bafusp#https://lindas.admin.ch/query
donau,Vienne,bafusp#https://lindas.admin.ch/query
donau,Budapest,bafusp#https://lindas.admin.ch/query
dnieper,Smolensk,bafusp#https://lindas.admin.ch/query
dnieper,Mogilev,bafusp#https://lindas.admin.ch/query
dnieper,Tschernigow,bafusp#https://lindas.admin.ch/query
dnieper,Kiew,bafusp#https://lindas.admin.ch/query
dnieper,Kaniv,bafusp#https://lindas.admin.ch/query
dnieper,Tscherkassy,bafusp#https://lindas.admin.ch/query
dnieper,Krementschuk,bafusp#https://lindas.admin.ch/query
dnieper,Saporischschja,bafusp#https://lindas.admin.ch/query
dnieper,Dnipropetrowsk,bafusp#https://lindas.admin.ch/query
dnieper,Nowomoskowsk,bafusp#https://lindas.admin.ch/query
dnieper,Cherson,bafusp#https://lindas.admin.ch/query
dniester,Lwiw,bafusp#https://lindas.admin.ch/query
dniester,Ternopil,bafusp#https://lindas.admin.ch/query
dniester,Chmelnyzkyj,bafusp#https://lindas.admin.ch/query
dniester,Winnyzja,bafusp#https://lindas.admin.ch/query
dniester,Mohyliw-Podilskyj,bafusp#https://lindas.admin.ch/query
dniester,Ribnita,bafusp#https://lindas.admin.ch/query
dniester,Dubossary,bafusp#https://lindas.admin.ch/query
dniester,Tiraspol,bafusp#https://lindas.admin.ch/query
dniester,Bender,bafusp#https://lindas.admin.ch/query
dniester,Bilhorod-Dnistrovskyi,bafusp#https://lindas.admin.ch/query
elbe,Spindleruv Mlyn,bafusp#https://lindas.admin.ch/query
elbe,Pardubice,bafusp#https://lindas.admin.ch/query
elbe,Praha,bafusp#https://lindas.admin.ch/query
elbe,Melnik,bafusp#https://lindas.admin.ch/query
elbe,Usti nad Labem,bafusp#https://lindas.admin.ch/query
elbe,Decin,bafusp#https://lindas.admin.ch/query
elbe,Dresden,bafusp#https://lindas.admin.ch/query
elbe,Meissen,bafusp#https://lindas.admin.ch/query
elbe,Riesa,bafusp#https://lindas.admin.ch/query
elbe,Torgau,bafusp#https://lindas.admin.ch/query
elbe,Wittenberg,bafusp#https://lindas.admin.ch/query
elbe,Dessau,bafusp#https://lindas.admin.ch/query
elbe,Magdeburg,bafusp#https://lindas.admin.ch/query
elbe,Tangermuende,bafusp#https://lindas.admin.ch/query
elbe,Wittenberge,bafusp#https://lindas.admin.ch/query
elbe,Lauenburg,bafusp#https://lindas.admin.ch/query
elbe,Geesthacht,bafusp#https://lindas.admin.ch/query
elbe,Hamburg,bafusp#https://lindas.admin.ch/query
elbe,Cuxhaven,bafusp#https://lindas.admin.ch/query
vistula,Wisla,bafusp#https://lindas.admin.ch/query
vistula,Oswiecim,bafusp#https://lindas.admin.ch/query
vistula,Krakau,bafusp#https://lindas.admin.ch/query
vistula,Tarnow,bafusp#https://lindas.admin.ch/query
vistula,Sandomierz,bafusp#https://lindas.admin.ch/query
vistula,Warschau,bafusp#https://lindas.admin.ch/query
vistula,Plock,bafusp#https://lindas.admin.ch/query
vistula,Wloclawek,bafusp#https://lindas.admin.ch/query
vistula,Torun,bafusp#https://lindas.admin.ch/query
vistula,Grudziadz,bafusp#https://lindas.admin.ch/query
vistula,Swiecie,bafusp#https://lindas.admin.ch/query
vistula,Tczew,bafusp#https://lindas.admin.ch/query
vistula,Gdansk,bafusp#https://lindas.admin.ch/query
oder,Ostrava,bafusp#https://lindas.admin.ch/query
oder,Raciborz,bafusp#https://lindas.admin.ch/query
oder,Opole,bafusp#https://lindas.admin.ch/query
oder,Wroclaw,bafusp#https://lindas.admin.ch/query
oder,Glogow,bafusp#https://lindas.admin.ch/query
oder,Nowa Sol,bafusp#https://lindas.admin.ch/query
oder,Krosno Odrzanskie,bafusp#https://lindas.admin.ch/query
oder,Eisenhuettenstadt,bafusp#https://lindas.admin.ch/query
oder,Frankfurt Oder,bafusp#https://lindas.admin.ch/query
oder,Kostrzyn,bafusp#https://lindas.admin.ch/query
oder,Schwedt,bafusp#https://lindas.admin.ch/query
oder,Szczecin,bafusp#https://lindas.admin.ch/query
loire,Le Puy-en-Velay,bafusp#https://lindas.admin.ch/query
loire,Saint-Etienne,bafusp#https://lindas.admin.ch/query
loire,Roanne,bafusp#https://lindas.admin.ch/query
loire,Nevers,bafusp#https://lindas.admin.ch/query
loire,La Charite-sur-Loire,bafusp#https://lindas.admin.ch/query
loire,Gien,bafusp#https://lindas.admin.ch/query
loire,Orleans,bafusp#https://lindas.admin.ch/query
loire,Blois,bafusp#https://lindas.admin.ch/query
loire,Amboise,bafusp#https://lindas.admin.ch/query
